type,timestamp_ms,dist_m,anchor_addr,anchor_x,anchor_y,anchor_z,quality,rssi_dbm,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp_c,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,confidence,pos_valid,imu_enable
IMU,5048,,,,,,,,-0.0085,-0.0570,9.7524,-0.0008,-0.0005,-0.0011,0.00,,,,,,,,,
IMU,5058,,,,,,,,-0.0195,-0.0593,9.7510,0.0000,-0.0013,-0.0003,0.00,,,,,,,,,
IMU,5068,,,,,,,,-0.0181,-0.0602,9.7474,0.0000,-0.0016,-0.0003,0.00,,,,,,,,,
IMU,5078,,,,,,,,-0.0108,-0.0521,9.7486,0.0005,-0.0003,-0.0011,0.00,,,,,,,,,
IMU,5088,,,,,,,,-0.0132,-0.0548,9.7453,0.0005,-0.0003,-0.0016,0.00,,,,,,,,,
IMU,5098,,,,,,,,-0.0118,-0.0660,9.7510,0.0000,-0.0003,-0.0016,0.00,,,,,,,,,
IMU,5108,,,,,,,,-0.0099,-0.0626,9.7533,0.0003,-0.0003,0.0000,0.00,,,,,,,,,
IMU,5118,,,,,,,,-0.0072,-0.0630,9.7503,-0.0003,-0.0000,0.0000,0.00,,,,,,,,,
IMU,5128,,,,,,,,-0.0093,-0.0612,9.7504,0.0003,-0.0005,-0.0003,0.00,,,,,,,,,
IMU,5138,,,,,,,,-0.0127,-0.0645,9.7428,-0.0003,-0.0005,-0.0008,0.00,,,,,,,,,
IMU,5148,,,,,,,,-0.0082,-0.0624,9.7431,0.0000,-0.0011,-0.0011,0.00,,,,,,,,,
IMU,5158,,,,,,,,-0.0174,-0.0578,9.7471,0.0005,-0.0013,-0.0005,0.00,,,,,,,,,
IMU,5168,,,,,,,,-0.0178,-0.0618,9.7498,0.0000,-0.0013,-0.0011,0.00,,,,,,,,,
IMU,5179,,,,,,,,-0.0163,-0.0627,9.7504,-0.0003,-0.0011,-0.0011,0.00,,,,,,,,,
IMU,5189,,,,,,,,-0.0100,-0.0600,9.7486,0.0000,-0.0008,-0.0016,0.00,,,,,,,,,
IMU,5199,,,,,,,,-0.0118,-0.0621,9.7516,0.0000,-0.0005,-0.0019,0.00,,,,,,,,,
IMU,5209,,,,,,,,-0.0078,-0.0609,9.7512,0.0003,-0.0003,-0.0016,0.00,,,,,,,,,
IMU,5219,,,,,,,,-0.0118,-0.0593,9.7530,0.0005,-0.0005,-0.0013,0.00,,,,,,,,,
IMU,5229,,,,,,,,-0.0112,-0.0623,9.7524,0.0008,-0.0011,-0.0005,0.00,,,,,,,,,
IMU,5239,,,,,,,,-0.0091,-0.0686,9.7494,0.0003,-0.0003,-0.0011,0.00,,,,,,,,,
IMU,5249,,,,,,,,-0.0108,-0.0677,9.7518,-0.0003,-0.0003,-0.0013,0.00,,,,,,,,,
IMU,5259,,,,,,,,-0.0153,-0.0648,9.7522,0.0000,-0.0003,-0.0003,0.00,,,,,,,,,
IMU,5269,,,,,,,,-0.0142,-0.0605,9.7540,0.0003,-0.0000,-0.0005,0.00,,,,,,,,,
IMU,5279,,,,,,,,-0.0150,-0.0567,9.7539,0.0003,-0.0008,-0.0011,0.00,,,,,,,,,
